event	lumi	run	ele pt	tau pt	met	taudm	tauGM
111210514	49060	1	32.8948	41.4841	22.8216	10	5
111211502	49060	1	30.4511	48.2977	76.3175	1	5
111215821	49062	1	63.8195	46.2636	97.8311	1	5
111219137	49064	1	32.0723	31.0309	13.2389	1	5
111221917	49065	1	29.4596	48.03	86.6548	1	5
111224584	49066	1	46.0477	60.9335	42.2063	1	1
111224805	49066	1	32.132	52.1401	80.9829	10	5
111229219	49068	1	36.0531	32.1946	48.2149	1	5
111350101	49121	1	34.0307	45.2459	10.803	10	5
111354861	49124	1	37.2278	40.1094	11.4077	0	5
111357250	49125	1	29.9554	36.9535	23.8319	1	5
111364792	49128	1	29.7116	40.9592	57.5295	1	5
111365778	49128	1	28.7374	30.7953	38.0454	1	5
111366312	49129	1	43.8984	47.4684	15.5152	1	1
111366686	49129	1	39.8864	34.3134	3.12788	1	1
111371007	49131	1	28.0039	52.0115	27.2093	1	5
111372104	49131	1	38.7906	32.4768	15.9083	1	5
111374837	49132	1	32.4485	37.6866	26.0901	11	5
111384350	49137	1	29.8287	30.6306	13.8579	0	5
111421952	49153	1	28.8842	31.5246	6.8768	1	5
111424380	49154	1	33.763	37.0118	14.9152	1	5
4199719	1853	1	25.1174	56.6665	18.9268	0	5
4521164	1995	1	33.7678	38.9005	14.892	1	5
4222348	1863	1	43.651	36.9893	26.061	10	5
4222891	1863	1	56.6133	59.5874	38.3039	10	5
4227246	1865	1	30.6779	32.8813	52.1261	10	5
4232788	1868	1	30.6376	30.7884	14.2992	0	5
5700544	2515	1	30.2259	38.1064	30.0161	11	5
4528851	1998	1	33.4076	40.2598	23.16	10	5
4536115	2002	1	36.669	39.7854	10.2832	1	5
19264231	8499	1	32.0914	37.6187	10.4196	1	5
19273269	8503	1	40.6853	37.1497	20.9641	11	5
33932692	14970	1	28.5562	30.6641	23.3581	1	5
34134557	15059	1	28.9136	33.8077	10.8257	11	5
34137914	15060	1	35.2098	42.4111	34.2587	10	5
34146458	15064	1	34.6122	34.5177	79.814	10	5
33937507	14972	1	38.4105	36.6248	20.6599	10	5
34819830	15361	1	26.4594	39.7387	18.8151	1	5
34823664	15363	1	38.3929	44.3809	26.026	1	5
34828634	15365	1	47.1643	35.2805	16.4127	10	5
34829198	15365	1	28.1171	32.7389	86.8604	10	5
34830021	15365	1	30.9317	37.9729	41.6142	10	5
59419673	26213	1	44.8496	30.4594	23.0263	0	5
42564772	18777	1	43.007	34.9252	15.9909	10	5
42623659	18803	1	41.8952	35.8252	16.8996	10	5
42747073	18858	1	31.5993	32.1895	33.7351	10	5
42752698	18860	1	32.7202	39.1659	11.7872	1	5
45676481	20150	1	113.786	88.6153	79.8659	10	5
45677007	20150	1	27.3735	35.2447	64.1215	1	5
45677570	20151	1	31.5226	43.6077	16.5129	0	5
45799602	20205	1	33.2747	48.3387	76.1614	1	5
45809347	20209	1	41.3621	65.8123	94.4805	1	5
45809972	20209	1	48.3509	54.7943	48.4938	11	5
45811704	20210	1	44.2991	39.7294	102.771	0	5
45818512	20213	1	29.1732	44.3255	28.2333	10	5
45822029	20214	1	29.549	43.623	33.8259	1	5
45823591	20215	1	35.4756	41.2514	16.9397	10	5
